形容詞 (2),
形容詞,hard
形容詞,soft
形容詞,safe
形容詞,dangerous
形容詞,strong
形容詞,weak
形容詞,rich
形容詞,poor
形容詞,expensive
形容詞,cheap
形容詞,fast
形容詞,slow
形容詞,early
形容詞,late
形容詞,quite
形容詞,noisy
形容詞,hot
形容詞,warm
形容詞,cool
形容詞,cold
形容詞,sunny
形容詞,rainy
形容詞,cloudy
形容詞,snowy
形容詞,bright
形容詞,dark
形容詞,dry
形容詞,wet
形容詞,sweet
形容詞,sour
形容詞,bitter
形容詞,delicious
形容詞,red
形容詞,blue
形容詞,green
形容詞,yellow
形容詞,black
形容詞,white
形容詞,true
形容詞,false
形容詞,right
形容詞,wrong
形容詞,clear
形容詞,sure
形容詞,ready
形容詞,different
形容詞,same
形容詞,real
形容詞,deep
形容詞,high
